elevation_m,slope_deg,ndvi,rainfall_mm,soil_stability,distance_to_water_m,flood_probability
278.18,22.08,0.7566,1607.1,0.55,3934.9,0.1406
209.8,16.58,0.0482,1805.0,0.35,4625.4,0.2631
281.34,4.04,0.1861,1653.3,0.2,4390.7,0.3128
286.01,18.92,0.0722,1268.6,0.6,203.5,0.4027
444.79,13.26,0.1376,2262.7,0.45,4486.2,0.4017
151.53,11.21,0.3916,2118.9,0.35,4862.8,0.2943
113.98,12.02,0.6437,2344.7,0.2,1354.4,0.1872
93.97,8.46,0.724,2248.7,0.2,4106.9,0.292
257.63,6.36,0.2111,1569.7,0.7,3904.8,0.2981
86.87,35.01,0.1007,267.1,0.55,2287.7,0.2345
459.02,28.19,0.174,2488.2,0.6,3180.7,0.2796
186.23,23.76,0.0776,2624.4,0.2,1727.8,0.2815
418.83,10.35,0.7309,362.1,0.55,1939.0,0.2208
482.46,34.28,0.5474,2065.3,0.45,3261.4,0.22
256.64,34.59,0.8671,2078.4,0.8,4558.5,0.1305
4.23,10.1,0.7051,985.8,0.45,2124.8,0.5479
188.24,13.95,0.152,1453.4,0.6,2926.6,0.46
483.24,33.58,0.4615,1821.9,0.45,1499.4,0.1858
54.05,2.55,0.8884,1957.7,0.45,1313.1,0.4206
149.4,6.0,0.6655,2709.1,0.6,3306.0,0.2366
340.38,28.85,0.5554,2992.7,0.45,4535.5,0.1632
291.51,39.79,0.716,1095.2,0.5,3434.7,0.1533
319.16,19.03,0.8407,1139.6,0.45,4228.6,0.1935
90.57,3.9,0.0279,850.1,0.7,4735.1,0.3291
449.8,26.18,0.1223,747.7,0.45,2108.2,0.2349
292.79,18.55,0.0178,255.7,0.35,2366.4,0.2144
97.27,4.79,0.5807,1636.5,0.6,279.8,0.3626
100.15,16.37,0.4694,2729.2,0.8,724.7,0.2997
431.2,7.21,-0.0192,1064.6,0.7,1573.9,0.3975
104.69,30.94,0.4763,559.5,0.35,655.7,0.1316
216.86,17.18,0.329,1484.5,0.55,198.2,0.3316
7.04,12.89,0.7332,652.7,0.55,3137.2,0.5952
124.41,27.74,0.2443,473.9,0.6,2521.6,0.1796
22.86,37.94,0.3559,1608.8,0.2,2174.0,0.4833
343.39,5.35,0.8961,1521.5,0.5,832.8,0.2907
9.56,8.97,0.8849,712.5,0.55,2952.6,0.5073
84.49,14.66,0.5505,208.4,0.45,3858.5,0.2127
23.98,4.32,0.7361,239.9,0.35,2089.7,0.4695
190.13,21.89,0.3744,544.1,0.55,1512.6,0.1601
134.99,24.23,0.0372,2508.9,0.35,2562.8,0.2385
308.85,11.31,0.6848,1543.4,0.5,3892.0,0.2852
178.96,16.39,0.0604,1689.6,0.5,3444.1,0.2128
240.33,9.38,-0.0873,358.1,0.35,4177.8,0.277
45.04,20.47,0.6236,393.7,0.45,3225.2,0.3491
228.38,39.09,0.1641,245.2,0.7,4372.0,0.218
338.38,17.04,0.0159,2568.6,0.55,58.3,0.4082
69.2,25.89,0.2287,2694.1,0.45,4393.6,0.4535
91.43,16.03,0.8623,888.3,0.6,3452.6,0.2408
239.12,16.87,0.7861,583.7,0.7,3483.9,0.2603
79.7,16.64,0.4908,2426.6,0.8,914.5,0.4159
189.88,14.34,-0.0712,2084.9,0.7,2420.6,0.2783
220.34,2.53,0.555,135.8,0.5,4889.7,0.2603
334.92,13.53,0.4231,2131.7,0.35,2169.9,0.2624
331.86,25.66,0.0487,2496.7,0.55,68.1,0.3403
467.19,20.22,0.3693,1537.9,0.7,383.6,0.2486
485.07,2.01,0.1227,1965.6,0.6,4087.3,0.3917
39.42,17.77,0.473,355.3,0.8,2240.9,0.497
326.69,4.11,0.3123,1715.7,0.55,4131.3,0.3681
395.89,38.53,0.5375,2681.3,0.5,3276.4,0.1715
412.66,32.66,0.7443,1062.7,0.8,3586.1,0.1508
181.65,18.1,-0.0026,2010.8,0.55,1713.4,0.3746
145.99,20.88,0.6021,232.8,0.7,2467.2,0.0847
410.92,29.7,0.3092,837.4,0.5,945.8,0.2048
228.52,31.26,0.6168,412.5,0.6,242.0,0.1521
316.62,26.89,0.0232,2686.1,0.8,3295.7,0.3502
249.41,21.21,-0.0514,2812.4,0.8,4622.6,0.3606
390.54,36.41,0.5918,603.6,0.7,526.7,0.1054
160.92,35.26,0.3187,1866.1,0.5,1375.2,0.1612
481.8,38.82,0.3528,486.8,0.6,3016.6,0.1933
421.54,21.91,0.2139,2236.8,0.5,1012.4,0.2464
312.08,11.62,0.2453,2049.9,0.7,2524.4,0.325
57.7,14.09,0.3804,1754.9,0.6,3374.5,0.4187
446.93,21.36,0.7775,1324.9,0.55,2618.4,0.1867
335.13,8.0,0.6502,566.7,0.45,3420.1,0.2137
73.21,2.48,0.6844,691.6,0.55,1799.8,0.3018
337.76,22.48,0.1243,1976.6,0.6,1195.6,0.3043
392.15,31.95,0.1876,2027.0,0.6,1943.9,0.3481
156.33,22.08,-0.087,828.9,0.8,4151.6,0.2534
455.74,28.19,0.5476,2289.8,0.5,3883.0,0.2311
88.71,27.31,0.087,604.0,0.35,1892.2,0.2273
214.25,22.26,0.0301,1793.6,0.45,38.2,0.2812
19.97,37.15,0.4969,2343.6,0.45,2457.8,0.5341
286.34,14.32,0.684,1021.8,0.5,4785.4,0.127
79.69,21.72,0.3034,1113.3,0.5,3320.0,0.2926
165.53,11.74,0.8503,1893.0,0.8,4983.2,0.2998
4.4,26.76,0.3457,2723.0,0.5,4794.9,0.5348
341.28,12.84,0.8159,2840.5,0.6,1290.4,0.2656
258.43,30.82,0.4143,1575.3,0.8,228.8,0.2563
449.14,7.7,0.4139,2849.8,0.7,4858.4,0.3706
313.47,8.43,0.5295,718.2,0.6,4180.0,0.1983
102.79,33.15,0.7786,2250.0,0.6,3236.3,0.2248
76.88,18.37,0.2317,353.8,0.55,898.2,0.2964
125.95,2.82,0.7216,2741.9,0.6,1946.3,0.2982
8.45,26.93,0.4348,1960.1,0.35,3782.2,0.5286
292.8,28.04,-0.0274,2791.3,0.35,1456.3,0.2651
140.76,37.07,0.2814,2484.2,0.55,2375.2,0.1919
266.73,5.46,0.291,2412.7,0.45,4801.1,0.3877
457.08,31.8,0.6293,1182.1,0.55,2772.1,0.1852
277.53,4.93,-0.095,1830.3,0.35,1530.4,0.3626
171.93,16.51,0.5459,1586.4,0.7,928.1,0.1625
308.44,10.11,0.0146,2045.8,0.55,4258.4,0.4813
230.63,21.99,0.1907,295.4,0.35,995.1,0.1434
290.3,38.06,0.2571,2046.8,0.5,509.2,0.1605
158.89,18.03,0.5163,986.5,0.7,2832.1,0.1633
182.25,12.65,0.3283,114.0,0.5,3930.4,0.224
138.34,14.38,0.5796,1061.5,0.8,2319.6,0.188
179.37,12.22,0.4517,609.7,0.35,4210.5,0.2244
269.31,10.53,0.7863,321.7,0.35,4461.6,0.1474
424.79,25.27,0.7126,1778.8,0.5,4532.5,0.1204
499.36,18.88,0.6752,1160.9,0.5,4458.3,0.1648
294.8,34.29,0.0339,1553.3,0.35,1990.0,0.1631
423.99,32.26,0.514,580.9,0.7,2236.6,0.1453
89.57,37.95,0.5594,2906.4,0.8,4696.5,0.3496
115.87,10.57,0.134,2038.9,0.2,1946.6,0.3256
458.95,35.26,-0.0601,1980.7,0.35,3521.6,0.1696
417.44,10.53,0.4444,604.2,0.6,1832.8,0.2348
326.67,33.42,0.4167,1191.4,0.5,2586.7,0.1167
243.43,19.28,0.5042,1555.3,0.7,2205.1,0.3044
115.0,20.58,0.1808,535.7,0.7,1817.5,0.2373
115.17,32.45,0.6203,1496.4,0.8,2400.3,0.1572
295.4,25.89,0.3109,806.6,0.7,2871.7,0.236
19.6,22.89,-0.0441,849.0,0.7,2588.0,0.6389
202.73,38.77,0.5376,2647.7,0.45,4736.8,0.2116
235.71,19.27,0.1194,1291.2,0.7,3975.1,0.3408
410.23,7.28,0.5596,867.1,0.2,4612.5,0.2019
189.11,5.29,-0.0834,1615.9,0.6,4134.3,0.3696
302.76,7.1,0.8016,1839.5,0.35,475.0,0.1914
269.64,0.05,0.8377,2067.8,0.6,2615.0,0.2242
185.19,1.74,0.4298,765.5,0.8,3949.9,0.2783
370.7,30.46,0.5967,383.4,0.7,1280.0,0.1667
382.93,36.4,-0.0162,1835.0,0.6,1296.4,0.3294
3.56,20.9,0.4198,1187.6,0.5,3442.0,0.5981
157.95,14.49,0.0548,1989.6,0.45,1313.9,0.2736
305.94,39.67,0.2975,690.7,0.8,901.8,0.1814
279.55,19.35,0.8885,1775.2,0.6,3681.6,0.217
373.91,17.86,0.5993,569.2,0.5,2546.6,0.1272
393.04,32.03,0.514,2085.2,0.55,812.1,0.1953
45.54,5.81,0.8259,1362.6,0.35,1322.8,0.4335
185.42,24.36,0.6245,2799.0,0.6,3073.7,0.1739
298.74,37.83,0.7202,1956.8,0.8,63.4,0.2592
425.28,37.23,0.4182,664.8,0.5,3079.8,0.1265
327.51,39.03,-0.0132,900.2,0.6,1772.1,0.1925
197.57,23.44,0.4177,2237.1,0.35,4596.7,0.1633
279.56,23.32,0.2475,2465.0,0.5,3035.8,0.2552
97.26,37.19,0.4749,857.2,0.6,2536.1,0.1199
169.98,4.68,0.4133,847.3,0.45,3474.0,0.2565
483.03,22.53,0.67,2296.7,0.8,3411.2,0.3021
240.99,10.31,0.2827,2387.1,0.5,3387.8,0.2833
114.97,12.63,0.8554,1597.9,0.55,3507.1,0.2047
199.47,29.95,0.242,1708.2,0.7,2388.0,0.2651
176.77,35.77,0.1691,2846.6,0.5,2500.0,0.2888
436.37,8.27,0.1028,824.1,0.2,788.4,0.3382
53.34,36.81,0.5758,2023.9,0.55,3823.6,0.3548
241.15,24.83,0.3923,2957.5,0.45,2459.1,0.2573
492.2,36.64,0.1803,744.1,0.7,280.2,0.2606
270.38,20.1,0.2937,2090.4,0.7,2291.4,0.2456
60.18,20.73,0.2157,124.4,0.5,1903.3,0.4038
430.92,7.49,0.1628,881.3,0.2,1836.0,0.2958
249.39,8.42,0.6007,1179.7,0.6,1405.4,0.264
287.95,9.14,-0.0001,882.9,0.5,2781.1,0.3388
428.15,7.84,0.7,2241.8,0.8,4030.3,0.3264
497.78,33.98,0.417,2189.6,0.8,1507.2,0.2772
281.07,22.71,0.2984,2102.6,0.55,1085.2,0.2587
48.15,29.78,0.1598,1144.9,0.45,1727.3,0.4817
205.88,14.04,0.5796,1856.2,0.7,4897.1,0.2594
255.22,30.99,0.3469,327.4,0.45,2324.1,0.1776
478.3,34.73,0.5406,2792.8,0.6,3160.1,0.1506
35.67,6.48,0.1282,1018.9,0.45,3555.1,0.5376
302.69,15.82,0.7877,2364.8,0.2,3742.0,0.154
83.66,34.17,0.025,780.4,0.45,4702.8,0.2621
350.35,3.2,0.0669,398.7,0.35,4684.6,0.2958
385.47,20.96,0.896,401.4,0.7,430.7,0.1469
465.79,15.59,0.1294,2239.0,0.8,3136.1,0.404
14.29,26.54,0.7604,1043.1,0.8,2341.3,0.5539
435.45,37.39,0.4485,491.8,0.7,2958.2,0.0887
438.65,17.4,0.5398,1648.0,0.2,2413.4,0.2159
113.56,3.58,0.2079,1295.4,0.7,1524.8,0.4263
423.97,13.76,0.3692,124.1,0.8,4735.3,0.2559
238.53,0.37,0.3304,949.5,0.5,3985.9,0.2919
441.08,17.48,0.1499,2173.3,0.6,4143.9,0.3093
110.3,3.17,0.5253,1598.2,0.45,1430.5,0.2911
206.45,34.14,0.0824,939.8,0.8,3092.5,0.1625
136.07,24.91,0.0878,156.2,0.55,4848.9,0.3234
141.06,5.0,0.3384,123.8,0.35,761.9,0.2741
246.79,13.68,0.2116,2418.4,0.2,2323.8,0.3058
421.77,38.07,-0.044,2349.4,0.35,2720.5,0.2244
90.8,35.83,0.1501,1206.6,0.55,618.6,0.251
385.61,17.72,0.6376,197.2,0.8,3679.3,0.1657
46.98,26.64,0.1084,1228.5,0.45,4681.7,0.4718
372.36,21.98,0.0221,1495.6,0.45,1001.6,0.3258
443.76,34.55,0.1178,427.5,0.6,1629.3,0.2083
59.82,31.57,-0.0911,221.8,0.8,3445.1,0.4186
77.5,30.83,0.1487,1549.8,0.2,4654.9,0.3357
29.89,25.78,0.6013,2395.3,0.7,2444.3,0.5061
158.37,22.33,0.5446,1107.2,0.8,3668.6,0.2495
362.2,10.03,-0.0605,2149.2,0.45,2718.2,0.366
245.05,22.67,0.4436,1038.7,0.8,1383.9,0.2651
277.26,2.76,0.055,957.5,0.45,2712.6,0.2639
227.04,31.04,0.406,2227.6,0.55,3102.5,0.1766
160.35,2.53,0.8672,2475.2,0.5,2625.1,0.3282
248.77,22.06,0.513,1035.5,0.2,561.2,0.1395
417.6,5.19,0.7735,686.0,0.8,966.2,0.2433
15.91,25.67,0.2886,1520.7,0.45,254.9,0.6112
6.54,36.84,0.5557,2792.4,0.35,2345.6,0.6297
319.46,14.44,0.6435,2682.2,0.2,3973.3,0.2903
264.51,29.37,0.7345,326.0,0.5,4803.3,0.1128
48.56,29.01,0.4317,649.4,0.5,2854.4,0.4003
279.07,29.84,0.6663,1772.0,0.8,3515.7,0.1652
213.54,4.16,0.6925,1694.9,0.2,3291.1,0.1902
466.76,36.1,0.4501,2990.9,0.2,2067.6,0.1907
316.62,33.05,0.2235,798.1,0.5,1881.6,0.1156
180.0,18.1,0.8598,100.6,0.55,4915.0,0.115
297.88,20.7,0.8934,975.3,0.45,4922.1,0.1341
385.76,37.73,0.7223,2765.4,0.7,480.5,0.2401
230.18,6.24,0.165,2679.9,0.5,1172.6,0.3878
199.9,36.72,0.6343,2198.4,0.8,872.8,0.1865
412.85,27.58,0.4762,2732.2,0.45,196.5,0.2997
390.06,36.87,0.2344,2651.4,0.6,2088.4,0.2243
433.92,34.79,0.1267,1993.1,0.55,3173.1,0.2367
262.19,12.77,0.4649,1047.8,0.5,774.5,0.2285
336.82,39.89,0.871,2283.2,0.35,1118.2,0.1158
66.09,3.3,0.4714,243.0,0.6,1320.2,0.4472
199.26,17.38,0.5979,2309.9,0.8,2800.9,0.2178
98.05,24.64,0.6357,814.1,0.35,1338.6,0.1412
215.03,27.39,0.476,426.3,0.6,2123.5,0.1313
296.94,0.97,0.2048,2964.2,0.8,3119.7,0.4717
220.23,36.97,0.1335,2087.5,0.7,3791.1,0.2752
27.27,37.96,0.8267,2619.4,0.45,78.5,0.5154
346.9,4.45,0.3501,166.0,0.5,3702.7,0.2872
375.18,21.95,0.523,2977.7,0.55,1889.3,0.3148
453.02,21.07,0.1555,274.3,0.5,3948.1,0.2116
327.38,0.33,0.2886,886.8,0.2,4322.8,0.2816
9.54,34.7,0.5494,770.4,0.6,2547.6,0.4786
242.33,23.88,-0.012,676.7,0.8,2807.8,0.1838
356.23,1.59,0.8223,984.3,0.8,1973.1,0.2884
175.96,25.01,0.1362,2936.9,0.45,4061.3,0.3278
312.9,35.15,0.7904,2463.1,0.55,4721.2,0.1921
170.89,15.71,0.0373,2216.7,0.5,2092.5,0.3255
286.45,17.06,0.2124,1855.6,0.8,2715.7,0.3229
270.68,32.0,0.7626,996.1,0.7,2156.0,0.1465
454.5,30.8,0.5562,1738.0,0.7,1594.3,0.0949
59.19,12.7,0.7796,2208.5,0.2,4401.9,0.3367
207.02,16.45,0.343,2807.9,0.45,768.3,0.3117
13.1,39.44,0.5169,1856.3,0.5,2985.8,0.544
115.46,1.04,-0.0205,2361.5,0.7,2516.6,0.3893
186.98,34.09,0.3914,498.8,0.5,1139.1,0.1027
204.29,38.75,0.8254,2855.6,0.5,3714.4,0.2376
33.07,37.08,0.8856,2614.7,0.8,3442.4,0.4445
433.39,35.5,0.3276,2351.0,0.6,3603.8,0.1604
285.97,21.45,0.5414,2141.9,0.55,2608.0,0.2906
225.8,33.08,-0.0576,2987.9,0.6,4919.3,0.3479
382.58,38.5,0.0899,1374.7,0.45,3870.6,0.2262
142.96,6.66,0.1944,2765.2,0.7,2323.3,0.3876
250.33,7.19,0.4854,2693.6,0.7,1971.4,0.3351
161.73,1.0,0.3537,2700.2,0.5,4413.9,0.4098
324.29,28.46,0.064,2226.5,0.35,579.7,0.2712
224.7,14.52,0.4238,1213.9,0.7,1899.6,0.2124
456.13,22.62,0.5595,535.3,0.7,902.5,0.221
356.02,16.78,0.2095,2329.0,0.8,1451.0,0.3739
480.22,0.14,0.6654,135.4,0.8,4278.5,0.3571
271.75,0.23,0.7827,789.8,0.8,2274.2,0.2224
3.29,35.29,0.1781,1923.0,0.5,254.1,0.6856
74.13,26.13,-0.0633,2576.1,0.45,1662.2,0.4172
496.87,6.45,0.1844,2016.7,0.7,4831.8,0.3808
374.67,14.41,-0.0642,2328.7,0.2,1849.2,0.3103
213.66,22.02,0.1928,490.2,0.45,1652.8,0.2163
206.88,8.39,0.1091,268.7,0.35,2423.5,0.2416
493.14,11.49,0.5088,1017.8,0.2,4636.3,0.1206
307.14,19.86,0.6292,1543.4,0.7,4419.5,0.2217
96.78,4.73,0.3649,2410.5,0.5,3999.8,0.3939
499.49,16.56,0.2338,1725.2,0.5,66.4,0.3777
395.1,12.31,0.4067,1039.4,0.55,578.0,0.285
166.64,15.84,0.4689,2884.3,0.7,978.1,0.3613
239.55,18.98,-0.0644,493.7,0.7,3139.7,0.1969
446.03,21.48,0.2351,2373.6,0.6,4639.7,0.3378
282.47,27.13,0.4552,154.3,0.2,3999.7,0.1328
444.01,14.14,0.8696,913.3,0.55,1702.4,0.1354
82.98,24.23,0.0874,438.8,0.45,3529.3,0.3137
157.25,1.27,0.3139,1541.5,0.5,1864.2,0.3545
262.55,7.0,0.2742,208.4,0.5,4567.6,0.244
221.89,1.0,0.3827,1550.2,0.5,1707.2,0.2487
155.18,13.09,0.6695,384.9,0.7,1033.9,0.2125
18.28,15.5,0.7648,435.9,0.45,4662.4,0.459
43.54,18.68,-0.0539,1609.7,0.45,122.2,0.5478
379.25,25.55,0.1098,681.6,0.45,1390.5,0.1899
58.83,5.97,0.1736,144.2,0.35,1040.8,0.4829
175.16,12.74,0.0416,2142.6,0.45,2874.7,0.3572
446.12,21.62,-0.0493,184.1,0.55,538.6,0.2773
26.9,17.06,0.079,1828.8,0.8,3085.4,0.6002
356.45,26.83,0.4335,2923.7,0.8,2843.3,0.3459
46.46,32.09,0.5986,382.1,0.45,3425.5,0.3083
115.85,8.95,0.7611,1889.1,0.2,1966.5,0.1733
349.81,26.61,0.6888,2659.0,0.8,2442.7,0.248
239.33,33.83,0.1823,1111.0,0.7,2544.7,0.2249
202.84,28.57,0.007,1712.8,0.35,3964.2,0.2
206.72,24.83,0.4479,2924.3,0.6,339.6,0.2894
104.12,27.76,0.3311,2942.6,0.2,2727.2,0.2343
38.95,37.23,0.4742,1511.2,0.8,1633.6,0.5023
48.83,17.81,0.208,1276.8,0.35,3430.7,0.3896
163.7,25.8,-0.0385,731.1,0.7,4437.4,0.2081
451.63,25.45,-0.0998,525.5,0.7,2270.3,0.2295
223.58,8.23,0.7774,969.2,0.45,4593.3,0.2595
468.34,28.71,0.8151,2971.8,0.55,3061.3,0.1106
426.25,2.5,0.8011,2906.9,0.55,3519.7,0.3136
410.38,14.37,0.7612,2610.5,0.5,2164.3,0.2011
355.89,16.24,0.3352,712.5,0.7,2379.6,0.2169
94.11,15.38,0.8245,2535.9,0.7,1449.5,0.2888
5.8,25.94,0.044,2666.2,0.6,4875.1,0.6723
67.89,5.49,0.7059,2594.4,0.6,3120.0,0.3986
410.04,15.39,0.1257,1331.8,0.55,2893.9,0.3043
423.4,9.47,0.4017,1291.4,0.2,177.0,0.3533
184.29,23.21,0.8617,332.2,0.45,2330.0,0.1105
39.12,35.6,-0.0116,1470.1,0.35,3423.5,0.4163
306.52,36.14,0.435,131.3,0.8,2568.2,0.1519
234.62,29.35,0.321,2885.7,0.45,1453.2,0.3338
374.71,29.08,0.4637,278.1,0.8,2894.9,0.185
286.43,26.25,0.1918,2238.4,0.55,1441.2,0.3057
425.72,11.11,0.0325,914.8,0.45,80.9,0.4085
55.77,6.98,0.4918,538.3,0.8,1855.1,0.4813
118.1,7.23,0.4274,196.0,0.35,4837.1,0.2971
297.77,32.87,0.7376,2283.0,0.6,3854.1,0.1739
318.79,8.43,0.6344,1100.7,0.45,3779.9,0.2747
58.0,6.7,0.2987,974.0,0.5,1905.2,0.4461
72.57,34.81,-0.0881,2788.9,0.8,1916.2,0.3876
157.84,21.21,0.8559,382.4,0.2,4781.4,0.0042
429.18,13.4,0.1671,385.0,0.6,2310.9,0.3051
337.65,9.67,0.5719,2334.4,0.2,3391.8,0.2939
5.29,0.34,-0.032,1292.6,0.35,3430.6,0.7424
175.76,29.01,0.1519,198.7,0.35,293.8,0.1381
108.41,23.98,0.0218,2877.6,0.35,4283.6,0.2597
64.95,26.26,0.7999,1741.6,0.7,4481.0,0.2983
233.48,37.45,0.5388,2775.8,0.45,3849.1,0.1764
346.11,26.7,0.6701,846.3,0.35,1393.7,0.1515
497.98,10.33,0.7128,616.0,0.35,2463.7,0.1962
464.29,24.41,0.0784,1527.0,0.7,2707.8,0.2271
53.12,17.66,0.159,201.1,0.35,2861.0,0.4334
125.3,17.84,0.7965,531.7,0.55,4665.1,0.1315
350.03,36.18,0.4746,1594.6,0.8,2395.9,0.1755
201.96,29.11,0.7123,303.3,0.5,26.5,0.2631
241.03,22.69,0.835,1140.9,0.45,2009.1,0.111
316.14,38.35,-0.0093,1650.4,0.2,411.5,0.1677
323.9,7.06,-0.0607,1214.1,0.5,1501.4,0.3604
195.05,4.27,0.5888,1510.9,0.8,3679.3,0.3275
359.87,23.72,0.3892,282.7,0.45,2503.4,0.1882
482.48,32.47,0.8666,147.6,0.2,289.7,0.0849
59.09,32.28,0.5673,1429.3,0.7,3707.8,0.3242
116.49,2.88,0.6355,1517.8,0.55,2361.4,0.2966
350.65,5.22,0.0722,244.9,0.45,4105.5,0.302
48.65,24.45,0.7354,285.5,0.35,579.8,0.2621
31.56,8.11,0.2373,2524.1,0.6,1627.9,0.6075
487.93,23.04,0.0373,2525.6,0.5,3823.5,0.2801
60.37,5.65,0.3152,2119.3,0.7,2198.9,0.4978
462.84,1.63,-0.0,2557.4,0.6,3890.5,0.4801
3.17,7.18,-0.0109,1990.1,0.45,2086.9,0.7606
403.71,30.9,0.5924,697.9,0.45,2620.2,0.0338
305.27,1.5,0.08,1549.7,0.35,3139.7,0.407
391.29,13.91,-0.0954,783.4,0.35,4933.2,0.3317
431.37,39.47,0.4075,1446.2,0.5,1389.4,0.1686
96.86,31.86,0.5852,2908.9,0.8,2492.6,0.2997
27.01,14.57,0.1096,829.0,0.8,226.2,0.7269
370.21,36.99,0.0759,2377.9,0.8,2579.4,0.3202
222.41,23.19,0.3191,2266.6,0.2,1158.0,0.2395
55.07,9.11,0.1371,1296.5,0.5,1883.9,0.5037
242.2,35.62,0.0449,2790.9,0.8,898.5,0.3593
186.74,18.31,0.0942,1139.9,0.45,1019.0,0.3077
29.83,5.46,0.7517,1429.9,0.7,3804.1,0.5919
109.93,11.81,0.0568,2404.2,0.7,2894.8,0.3513
205.85,20.87,0.7622,727.7,0.8,4186.6,0.161
139.59,29.2,0.6362,815.3,0.2,2176.9,0.107
473.13,36.55,0.7983,1311.5,0.55,209.9,0.266
235.33,30.74,-0.0664,1640.3,0.8,4050.5,0.2696
247.64,3.32,0.6531,2110.2,0.6,4750.2,0.2927
66.36,11.83,0.5476,363.1,0.8,3348.5,0.3966
285.19,23.35,0.8764,1444.9,0.7,4372.3,0.1973
202.68,31.59,0.2704,1446.5,0.55,4303.3,0.2787
166.45,1.31,0.3259,882.4,0.5,3940.6,0.3462
40.48,35.23,0.6358,259.0,0.2,4441.0,0.342
309.57,14.62,0.0753,1720.5,0.35,2808.2,0.3239
386.79,5.54,0.2349,1664.9,0.8,3689.5,0.3648
351.42,30.13,0.6609,1029.3,0.45,2522.8,0.0361
211.46,2.18,0.2728,1412.0,0.35,2356.1,0.2464
449.73,18.08,0.2681,2052.6,0.35,949.9,0.2516
441.99,3.49,0.2907,618.6,0.35,555.7,0.2686
248.16,35.0,0.4207,1919.1,0.45,2088.5,0.2497
341.2,37.27,0.3739,1318.4,0.55,1464.7,0.2565
116.16,37.9,0.5447,1293.9,0.2,3282.2,0.1513
393.41,19.45,0.5659,1637.5,0.8,2295.5,0.1654
153.25,31.57,0.1268,1178.5,0.45,3851.1,0.1681
23.66,14.12,0.3559,582.5,0.7,3561.9,0.531
419.67,27.71,0.5664,545.1,0.5,593.4,0.2333
496.89,22.98,0.3409,1172.0,0.5,2816.8,0.2449
171.92,14.92,0.4399,571.5,0.45,616.2,0.2149
12.46,37.24,0.6685,2848.6,0.2,788.7,0.5632
253.7,25.89,0.1956,2698.3,0.7,3999.9,0.2898
364.27,36.89,0.2387,425.7,0.8,4501.9,0.2266
154.04,16.07,0.7409,1393.3,0.35,1638.6,0.2182
304.08,7.81,0.4264,2365.7,0.45,986.6,0.384
338.53,38.3,0.8758,1243.8,0.8,1595.6,0.1674
302.54,37.74,0.8084,1147.1,0.7,3582.7,0.0891
6.1,13.8,0.2081,1392.2,0.35,1086.3,0.6635
443.9,29.66,0.3156,1383.3,0.7,4030.3,0.251
448.21,5.58,0.4872,349.6,0.5,1523.1,0.2412
494.19,21.01,0.2354,2806.1,0.6,451.4,0.2469
207.26,22.23,0.6102,2290.2,0.7,1004.3,0.2867
416.14,11.58,0.3906,2486.1,0.45,4174.6,0.2909
231.73,1.07,-0.0976,861.8,0.8,629.6,0.4374
332.96,11.51,0.0794,2729.7,0.5,151.9,0.4437
485.31,23.96,0.2618,1493.4,0.6,4343.0,0.1943
314.0,19.04,0.5942,446.8,0.55,4227.9,0.1779
159.84,35.13,0.0355,573.6,0.45,1812.2,0.2045
318.12,38.21,-0.0513,945.8,0.35,2574.2,0.2055
47.25,30.11,0.4437,2630.1,0.45,1364.6,0.3993
348.98,14.5,0.4344,1119.7,0.7,74.4,0.3039
242.45,13.61,0.8108,397.0,0.7,2521.9,0.1759
415.79,31.8,0.4587,2100.0,0.35,2092.6,0.1974
65.62,0.7,0.2482,2104.0,0.7,4087.0,0.521
444.86,23.91,0.6636,1091.9,0.45,153.5,0.2301
428.41,5.69,0.1266,463.5,0.7,4905.7,0.2965
212.4,30.52,0.0117,154.5,0.8,3789.1,0.2467
396.53,20.54,-0.0407,444.9,0.45,226.0,0.3022
150.82,0.41,-0.0035,459.0,0.5,2942.1,0.3664
14.63,5.82,0.6462,904.4,0.2,1767.5,0.6083
427.57,31.23,0.513,1564.2,0.35,504.5,0.1447
108.5,7.66,0.1819,2714.8,0.55,4868.2,0.3748
49.34,8.56,0.4042,2152.5,0.2,3493.7,0.509
53.66,33.39,0.8813,1329.9,0.5,2043.8,0.3413
380.7,12.57,0.3659,1607.2,0.8,3813.7,0.2922
20.3,13.12,0.0157,922.5,0.45,3438.4,0.5637
420.55,9.03,0.3073,2956.4,0.6,952.0,0.4365
237.84,27.17,0.0793,2996.3,0.8,3363.8,0.3646
198.18,20.91,0.5765,445.7,0.6,2009.1,0.1534
462.65,39.11,-0.0353,2928.1,0.2,1009.3,0.2571
422.01,16.17,0.1329,1331.6,0.8,1399.8,0.3005
136.49,31.58,0.5438,1260.7,0.8,3336.7,0.1274
475.07,39.5,0.4114,527.4,0.8,549.1,0.1692
314.19,5.38,-0.0004,253.3,0.35,2495.7,0.355
13.37,7.16,0.5046,1048.2,0.45,3113.6,0.615
375.8,30.7,0.6927,685.6,0.8,2456.3,0.1426
130.83,13.74,0.7597,1685.2,0.55,4953.7,0.2344
225.06,34.11,0.3426,204.3,0.7,2787.8,0.1548
430.18,12.12,0.6061,1525.3,0.7,1569.2,0.2074
284.43,19.62,0.4538,1664.2,0.8,2384.8,0.304
427.18,20.27,0.2914,1534.6,0.6,3088.5,0.1899
160.24,1.13,-0.0549,2527.1,0.2,4049.7,0.4836
