flood_probability,slope_norm,soil_stability,vegetation_density,wind_exposure,sun_score,buildability_score
0.3285,0.2949,0.8597,0.682,0.054,0.8941,91.28
0.1682,0.0238,0.702,0.3709,0.2338,0.9994,100
0.0832,0.1771,0.2005,0.0827,0.1352,0.6513,88.17
0.3137,0.7939,0.5961,0.8719,0.0595,0.3947,71.37
0.919,0.0789,0.2777,0.2146,0.7195,0.4178,60.41
0.8785,0.9666,0.6583,0.6864,0.2596,0.8309,53.94
0.2825,0.9559,0.5446,0.765,0.7042,1.0,72.12
0.4637,0.5507,0.8515,0.7083,0.5899,0.5856,76.92
0.751,0.0658,0.2068,0.3927,0.9574,0.8202,65.71
0.9698,0.7729,0.2085,0.69,0.579,0.2528,39.43
0.8783,0.4284,0.5545,0.6987,0.7603,0.309,61.89
0.5428,0.6269,0.8369,0.9554,0.9905,0.5587,63.42
0.9598,0.3592,0.732,0.2436,0.3738,0.7698,56.73
0.1465,0.3613,0.2495,0.0593,0.9638,0.7719,75.09
0.3978,0.4285,0.8398,0.8242,0.0588,0.7512,83.55
0.7171,0.4775,0.2309,0.6955,0.2416,0.6891,64.23
0.7167,0.9564,0.6635,0.5703,0.289,0.7826,63.73
0.9632,0.375,0.3575,0.0028,0.4908,0.5956,54.23
0.3281,0.218,0.643,0.8284,0.0729,0.4448,86.27
0.3795,0.2551,0.8292,0.1836,0.1058,0.7425,86.35
0.1868,0.947,0.6917,0.1495,0.7893,0.5321,71.1
0.856,0.0697,0.7161,0.0319,0.0398,1.0,69.67
0.3562,0.0056,0.735,0.541,0.9135,0.7179,88.04
0.243,0.1515,0.832,0.0884,0.3926,0.4516,92.21
0.2816,0.6783,0.8704,0.9235,0.4565,0.9414,88.96
0.996,0.5565,0.8874,0.4511,0.8572,1.0,59.71
0.5936,0.4235,0.3172,0.0464,0.9533,0.4702,62.4
0.671,0.8823,0.7581,0.8847,0.1415,0.5892,63.26
0.4619,0.4634,0.2173,0.5958,0.0011,0.6578,74.81
0.0908,0.3443,0.3135,0.7137,0.5507,0.4159,78.71
0.099,0.7953,0.7079,0.1709,0.3526,1.0,86.89
0.7857,0.5223,0.8369,0.7228,0.6864,0.7684,59.97
0.5031,0.2114,0.46,0.5502,0.0816,0.7895,83.27
0.3129,0.7496,0.6832,0.4704,0.704,0.3363,69.45
0.0503,0.9924,0.4378,0.2363,0.535,0.9909,77.28
0.6039,0.2159,0.5832,0.3754,0.9426,0.7161,64.85
0.8037,0.2761,0.873,0.311,0.0534,0.338,65.75
0.5139,0.1681,0.7278,0.1625,0.054,0.7553,79.56
0.6253,0.8387,0.36,0.6625,0.1555,0.481,58.4
0.2774,0.4873,0.3951,0.2114,0.1317,0.9369,80.57
0.4215,0.9535,0.4519,0.6024,0.1963,0.2594,63.99
0.1265,0.6273,0.2091,0.0361,0.2079,0.2965,80.28
0.219,0.1312,0.7019,0.498,0.8505,0.3666,83.57
0.8758,0.2437,0.7025,0.0414,0.7768,0.3698,60.71
0.047,0.2535,0.3379,0.6822,0.8249,0.5657,89.51
0.793,0.2308,0.7797,0.4569,0.3559,1.0,75.93
0.132,0.071,0.216,0.1619,0.5982,0.6311,89.3
0.8835,0.6858,0.7196,0.4697,0.3781,0.8074,59.47
0.7491,0.5309,0.2835,0.7852,0.2637,1.0,64.46
0.7419,0.8212,0.2468,0.3871,0.1622,0.7702,57.52
0.1185,0.4868,0.5508,0.3669,0.5572,0.5879,81.79
0.8412,0.8414,0.8352,0.4605,0.7531,1.0,52.9
0.9299,0.0841,0.5585,0.3937,0.3617,0.5279,67.78
0.2869,0.7631,0.3783,0.656,0.441,0.6455,77.92
0.6047,0.1886,0.3573,0.4168,0.0085,0.8433,76.82
0.3769,0.4536,0.2906,0.1689,0.1347,1.0,80.27
0.1469,0.2164,0.4877,0.1374,0.8287,0.5649,85.67
0.6545,0.6954,0.3866,0.1513,0.6792,1.0,55.47
0.5338,0.493,0.8904,0.9504,0.6177,0.9282,71.96
0.9303,0.1475,0.3681,0.3111,0.8207,0.3276,52.12
0.2637,0.201,0.4372,0.2394,0.134,1.0,86.56
0.9893,0.9472,0.8819,0.1867,0.3656,0.3028,43.58
0.2607,0.2023,0.7707,0.8089,0.2409,0.3221,88.81
0.8345,0.8483,0.5703,0.4057,0.3739,0.9089,53.54
0.7278,0.9161,0.5946,0.2686,0.3308,0.6657,58.63
0.5868,0.8949,0.7582,0.2683,0.7721,1.0,57.53
0.3605,0.2399,0.4595,0.4722,0.8572,0.6103,72.09
0.9312,0.5946,0.552,0.9623,0.0636,0.4412,58.64
0.3433,0.3699,0.5748,0.9083,0.5727,1.0,85.49
0.9368,0.9171,0.4144,0.0875,0.3417,0.947,46.11
0.94,0.5757,0.478,0.8442,0.1817,1.0,59.63
0.2395,0.4532,0.8866,0.1367,0.3679,0.9076,88.77
0.3848,0.9331,0.4001,0.9977,0.9537,0.8464,65.81
0.5835,0.2478,0.8281,0.941,0.8166,0.5259,74.23
0.7184,0.0558,0.5966,0.22,0.7703,0.4572,70.66
0.9611,0.6807,0.2127,0.5342,0.6863,0.3618,50.14
0.9198,0.1421,0.2842,0.3684,0.549,0.3347,55.89
0.9325,0.2809,0.3095,0.3627,0.9695,0.5061,55.49
0.9058,0.7975,0.3818,0.8441,0.6505,0.8722,50.22
0.0486,0.4972,0.65,0.1636,0.6481,0.9979,92.11
0.7966,0.8753,0.7742,0.2226,0.4447,0.6652,55.81
0.5773,0.4003,0.4267,0.1883,0.468,0.3522,69.73
0.0466,0.7632,0.6902,0.8153,0.8137,1.0,83.28
0.0629,0.9276,0.4572,0.6491,0.6583,0.2918,75.83
0.8563,0.1782,0.2896,0.3092,0.3198,0.8574,65.48
0.9454,0.1199,0.2185,0.3011,0.9677,0.8846,62.34
0.7631,0.5291,0.6393,0.0868,0.9935,1.0,64.29
0.1985,0.1981,0.6357,0.3511,0.1542,0.9609,95.81
0.6009,0.1865,0.7084,0.8559,0.7841,0.5653,79.13
0.7191,0.9664,0.4466,0.8933,0.6593,0.4454,52.9
0.6399,0.7709,0.5099,0.6993,0.1901,0.7287,66.91
0.6079,0.0014,0.4545,0.4737,0.6935,1.0,80.63
0.2255,0.2266,0.4988,0.5073,0.972,0.6804,78.2
0.0916,0.049,0.8833,0.0456,0.1874,0.8065,100
0.5057,0.1584,0.7975,0.3811,0.0987,0.7004,82.35
0.156,0.0998,0.6514,0.9522,0.9805,0.4537,94.0
0.6321,0.1829,0.2627,0.859,0.6662,1.0,72.76
0.4347,0.7075,0.3835,0.8595,0.7794,0.6886,65.78
0.131,0.2098,0.8789,0.2167,0.6909,0.39,93.17
0.9523,0.9196,0.5559,0.6347,0.7544,0.5177,47.88
0.9904,0.8581,0.5963,0.7174,0.665,0.8782,49.38
0.8602,0.1786,0.8708,0.405,0.377,1.0,65.06
0.2111,0.6561,0.8302,0.2422,0.8971,0.9745,73.24
0.4788,0.7987,0.2467,0.6478,0.5316,0.4989,61.3
0.1045,0.2363,0.5399,0.3153,0.8568,1.0,86.54
0.7722,0.6532,0.4268,0.0136,0.66,0.4514,50.29
0.0573,0.7845,0.6648,0.2292,0.8282,0.6841,80.95
0.3654,0.0633,0.7113,0.7908,0.045,0.5419,86.11
0.9368,0.6597,0.4578,0.4281,0.7204,0.316,45.25
0.5662,0.9183,0.4396,0.4283,0.0169,1.0,70.24
0.5924,0.2115,0.4247,0.5471,0.3578,0.4195,75.11
0.4772,0.0005,0.296,0.2536,0.4346,0.3951,81.37
0.652,0.0961,0.7103,0.0898,0.3075,1.0,78.74
0.5716,0.7519,0.501,0.9466,0.4035,0.7376,65.53
0.5664,0.5232,0.3509,0.165,0.4905,0.6936,63.22
0.0799,0.6019,0.7393,0.1319,0.652,0.8687,92.42
0.6955,0.9638,0.5743,0.4752,0.5447,0.573,56.07
0.8407,0.936,0.8585,0.6849,0.9001,0.8901,53.25
0.0917,0.77,0.4302,0.1884,0.9538,0.8661,77.32
0.7856,0.6369,0.3272,0.1247,0.0457,0.361,61.41
0.7746,0.4863,0.4647,0.9932,0.563,0.6681,66.05
0.9217,0.4799,0.6977,0.0012,0.4209,0.7645,55.83
0.6654,0.4353,0.4806,0.5724,0.5931,1.0,70.5
0.8848,0.089,0.7714,0.3857,0.3476,0.8831,76.97
0.033,0.4067,0.4471,0.699,0.4703,0.2845,88.44
0.7391,0.9751,0.5955,0.6165,0.9629,0.6546,54.48
0.6501,0.1374,0.6872,0.2227,0.2059,0.8868,80.65
0.5936,0.719,0.3255,0.3498,0.1615,0.3977,59.99
0.2997,0.9874,0.7973,0.6141,0.9162,0.819,71.08
0.5596,0.5699,0.4348,0.3935,0.9226,0.6295,60.67
0.3304,0.2617,0.8308,0.9233,0.7453,0.5318,85.43
0.2574,0.073,0.8277,0.612,0.3955,1.0,91.45
0.2425,0.7057,0.8004,0.2758,0.4509,0.4575,74.17
0.8809,0.8771,0.3847,0.5258,0.676,0.8526,47.95
0.0477,0.3282,0.4941,0.6054,0.477,1.0,93.28
0.9883,0.669,0.5732,0.7705,0.5224,1.0,55.16
0.1036,0.008,0.826,0.571,0.1291,0.8837,100
0.1151,0.4787,0.2303,0.3268,0.8992,0.7254,80.43
0.7844,0.3705,0.5308,0.5856,0.8591,0.3652,63.38
0.2444,0.0429,0.3947,0.4328,0.3044,1.0,94.72
0.5666,0.823,0.299,0.7373,0.3558,0.375,63.85
0.1148,0.7338,0.523,0.8585,0.8643,0.7347,78.18
0.5824,0.628,0.7877,0.9638,0.5554,0.6444,69.37
0.8062,0.9227,0.6266,0.9444,0.2611,0.5805,56.18
0.3273,0.3879,0.2592,0.2228,0.542,0.5901,77.1
0.885,0.2966,0.3285,0.8288,0.1576,0.8649,70.08
0.1949,0.4575,0.3282,0.4066,0.656,0.2672,80.7
0.232,0.4508,0.6056,0.5044,0.6931,0.9842,79.34
0.8312,0.0327,0.754,0.9886,0.6511,0.9015,78.12
0.8972,0.5691,0.3964,0.7533,0.9593,0.3902,50.83
0.6627,0.4873,0.8225,0.0644,0.2635,1.0,70.28
0.3021,0.8415,0.2409,0.2284,0.7939,1.0,69.49
0.8151,0.6095,0.3962,0.3908,0.1812,0.939,60.68
0.7298,0.7539,0.7311,0.199,0.1335,1.0,63.05
0.1363,0.1344,0.4809,0.9915,0.2155,1.0,97.05
0.2297,0.2195,0.3775,0.4684,0.0677,0.8846,88.7
0.4563,0.9328,0.2075,0.8559,0.142,0.6885,63.32
0.61,0.7509,0.4206,0.8986,0.0567,0.5048,65.22
0.9416,0.173,0.3616,0.5817,0.7696,0.9981,62.68
0.1706,0.029,0.3896,0.9179,0.7924,0.2928,84.72
0.9465,0.7996,0.7666,0.7972,0.9173,0.265,46.48
0.4542,0.163,0.3144,0.7971,0.2927,1.0,88.77
0.7222,0.9163,0.3813,0.8831,0.4626,0.9615,60.59
0.1016,0.9173,0.6495,0.691,0.3211,0.4887,83.54
0.6007,0.8623,0.848,0.05,0.3598,0.7465,66.81
0.5368,0.9205,0.3079,0.6776,0.6289,0.5612,59.48
0.1556,0.5988,0.7619,0.5849,0.6881,0.6032,81.66
0.7582,0.2817,0.3783,0.5071,0.7395,1.0,62.03
0.4514,0.7694,0.2534,0.1863,0.13,0.3288,64.25
0.0471,0.5309,0.8762,0.042,0.6969,1.0,83.98
0.7427,0.05,0.8414,0.976,0.0739,1.0,81.93
0.863,0.4847,0.6855,0.7979,0.9325,0.7984,57.48
0.6194,0.2518,0.4485,0.5982,0.7352,1.0,76.07
0.1094,0.102,0.3229,0.9053,0.9453,0.9361,91.82
0.1818,0.0215,0.8,0.1497,0.113,0.4115,98.18
0.6791,0.6851,0.3825,0.8791,0.3825,1.0,69.83
0.0015,0.5396,0.3369,0.9762,0.2944,0.6559,87.63
0.9048,0.0185,0.5515,0.5186,0.5086,0.7818,67.1
0.0208,0.1662,0.8021,0.6138,0.3775,0.7152,100
0.3494,0.6121,0.8125,0.1895,0.6819,0.7054,70.17
0.3973,0.6347,0.3464,0.9476,0.5977,0.5402,66.59
0.2332,0.185,0.8449,0.4742,0.7948,0.3967,84.68
0.4184,0.8858,0.4445,0.0837,0.8095,0.3727,60.35
0.6541,0.5727,0.8492,0.1509,0.2858,0.3154,71.77
0.7686,0.2184,0.3061,0.3177,0.7575,0.8927,61.03
0.4022,0.4359,0.5243,0.7202,0.1542,0.6246,82.04
0.6641,0.954,0.2299,0.377,0.3352,0.4876,48.82
0.5144,0.6463,0.5859,0.0971,0.2048,0.3481,63.7
0.0404,0.2726,0.5741,0.851,0.7044,0.3939,86.46
0.8189,0.0837,0.7954,0.0944,0.8288,0.9669,67.45
0.6627,0.8834,0.6979,0.5383,0.8697,0.7482,59.64
0.5358,0.9914,0.4086,0.0084,0.7636,0.3506,50.47
0.0585,0.3093,0.4139,0.1336,0.8368,0.2509,85.27
0.7946,0.1777,0.8496,0.9156,0.4978,0.8351,68.78
0.5208,0.7759,0.8718,0.6378,0.2818,1.0,74.6
0.7489,0.7751,0.2831,0.4353,0.1293,0.5215,58.18
0.7149,0.4361,0.3014,0.0751,0.183,0.5302,66.15
0.064,0.2843,0.6282,0.5319,0.7958,0.3534,86.71
0.917,0.5684,0.8033,0.8658,0.09,1.0,59.15
0.4465,0.8254,0.4844,0.6094,0.9768,0.5045,61.48
0.1609,0.6983,0.2776,0.5496,0.057,1.0,82.21
0.4222,0.0209,0.6817,0.1681,0.0021,0.2549,89.07
0.5392,0.1934,0.4772,0.873,0.0038,0.8292,81.06
0.3266,0.1795,0.371,0.5295,0.2349,0.9006,90.16
0.1618,0.4179,0.7672,0.1709,0.7784,0.9534,84.4
0.0624,0.4511,0.5738,0.4322,0.8226,0.9433,93.07
0.1773,0.5558,0.8227,0.882,0.5016,1.0,86.9
0.6732,0.8828,0.3427,0.8146,0.4075,0.9347,56.24
0.8833,0.9635,0.8391,0.75,0.768,0.4123,48.96
0.4549,0.2478,0.5865,0.9651,0.1087,1.0,88.58
0.7911,0.2011,0.3579,0.6088,0.0991,0.7455,74.2
0.5081,0.9708,0.4445,0.1868,0.7372,0.9176,62.77
0.7082,0.7643,0.8587,0.0198,0.9527,0.6921,57.85
0.3856,0.6506,0.4957,0.6291,0.3702,0.7835,81.32
0.5382,0.1005,0.6579,0.2664,0.7703,0.8194,77.71
0.4671,0.4446,0.4868,0.4606,0.5032,0.3514,73.79
0.8532,0.6433,0.5787,0.2989,0.6607,0.4133,51.99
0.6756,0.9907,0.7753,0.1507,0.3908,0.5879,59.53
0.3845,0.1708,0.8089,0.5747,0.0942,0.5467,86.83
0.2041,0.6167,0.6152,0.8911,0.1625,0.549,80.64
0.6283,0.009,0.511,0.2979,0.1365,1.0,78.65
0.0225,0.2681,0.5326,0.7648,0.412,0.7911,97.12
0.4379,0.6187,0.5391,0.5624,0.5532,0.7957,72.42
0.307,0.6797,0.3784,0.3519,0.6178,0.7734,71.47
0.5091,0.8027,0.7614,0.847,0.1125,0.6735,73.13
0.289,0.4583,0.8606,0.3434,0.3987,0.7831,84.63
0.3808,0.7764,0.5736,0.2652,0.316,0.9763,72.16
0.1667,0.64,0.7643,0.8758,0.3267,0.4067,88.55
0.164,0.1395,0.5211,0.3967,0.2899,0.8017,85.19
0.0612,0.8399,0.3254,0.5346,0.2527,0.7267,80.79
0.8773,0.5731,0.333,0.6657,0.0411,0.6923,59.6
0.6668,0.5409,0.3659,0.595,0.4737,1.0,66.63
0.3476,0.9842,0.3656,0.1494,0.9601,0.9726,61.23
0.9152,0.0472,0.349,0.6797,0.7202,0.9465,62.42
0.8694,0.5964,0.6515,0.0173,0.9682,0.5777,53.41
0.2928,0.558,0.7371,0.1916,0.4383,0.7462,84.52
0.432,0.5695,0.5519,0.4799,0.721,0.2679,60.2
0.1183,0.4721,0.4901,0.6427,0.0349,0.3536,87.08
0.8886,0.1229,0.3616,0.9189,0.303,1.0,67.06
0.1315,0.5953,0.2303,0.4839,0.6653,1.0,74.45
0.8185,0.3742,0.4106,0.0386,0.1418,0.9633,62.25
0.1168,0.9102,0.6279,0.4362,0.4777,0.5391,74.98
0.9389,0.1808,0.6263,0.3318,0.2155,0.8323,67.23
0.6599,0.4396,0.2206,0.4989,0.4804,0.6064,59.41
0.3257,0.5973,0.6205,0.3263,0.0964,1.0,80.55
0.2318,0.2252,0.2043,0.8304,0.9694,0.5135,79.65
0.1662,0.8289,0.8296,0.0564,0.741,0.6115,73.06
0.6584,0.9465,0.8514,0.068,0.7171,0.6829,60.4
0.6333,0.4633,0.3099,0.7724,0.5361,0.7501,65.25
0.2464,0.3465,0.4247,0.6751,0.5541,0.4067,78.68
0.6813,0.3463,0.699,0.3126,0.4061,1.0,71.24
0.3277,0.3682,0.2588,0.0666,0.336,0.2979,74.34
0.3085,0.0927,0.5138,0.3073,0.4716,0.951,87.11
0.6386,0.3566,0.2988,0.4384,0.5289,0.9314,68.75
0.7895,0.4612,0.4495,0.3003,0.8058,0.7735,57.43
0.1994,0.2894,0.8309,0.2032,0.3334,0.6976,87.39
0.1248,0.2178,0.2582,0.7875,0.6884,0.4697,85.59
0.6443,0.9184,0.8863,0.4271,0.0374,0.6849,63.44
0.9136,0.0683,0.7561,0.4799,0.4752,0.2588,64.48
0.8272,0.4348,0.4212,0.0626,0.1815,0.6581,59.77
0.6609,0.9266,0.7103,0.4826,0.8058,0.7192,59.67
0.1015,0.5645,0.2752,0.4249,0.4784,0.5182,82.75
0.7352,0.4427,0.4652,0.1626,0.8091,0.7898,58.15
0.0653,0.3104,0.3469,0.3961,0.5877,0.7776,91.71
0.43,0.9717,0.439,0.6096,0.5751,0.9744,63.43
0.6895,0.1122,0.5726,0.5541,0.4797,0.7793,72.37
0.9311,0.7089,0.3146,0.7043,0.5403,0.6255,50.15
0.5221,0.9046,0.3191,0.2948,0.2769,1.0,64.5
0.7511,0.9009,0.669,0.7242,0.5828,0.6515,54.07
0.561,0.8768,0.7767,0.8898,0.3286,0.9008,67.51
0.9454,0.7419,0.7898,0.0513,0.1435,0.6543,57.27
0.5838,0.7311,0.6264,0.8972,0.8457,1.0,68.01
0.5404,0.6393,0.8351,0.4519,0.0819,0.2632,68.07
0.3282,0.5806,0.4095,0.9655,0.9254,0.9933,77.69
0.2061,0.4963,0.8117,0.5231,0.3912,0.7298,81.13
0.083,0.7261,0.6467,0.2099,0.5028,0.9393,84.44
0.0819,0.2458,0.8903,0.4917,0.5388,0.5022,92.09
0.9164,0.5764,0.8213,0.0227,0.7949,0.852,59.04
0.5729,0.8459,0.7834,0.4453,0.5771,0.5895,58.89
0.1478,0.8614,0.8472,0.5852,0.221,0.9735,89.79
0.3131,0.5046,0.7256,0.7545,0.4647,0.9366,86.76
0.7688,0.6689,0.3366,0.6733,0.02,0.9324,65.35
0.5845,0.0104,0.871,0.5326,0.8528,1.0,83.43
0.3074,0.6463,0.4206,0.1213,0.7235,0.2887,71.09
0.8264,0.7976,0.7989,0.7172,0.0427,0.5504,62.1
0.8793,0.2993,0.7002,0.2066,0.0697,0.5646,63.51
0.4962,0.3791,0.4814,0.915,0.0789,0.8827,75.88
0.5097,0.5996,0.5978,0.209,0.242,0.8171,70.6
0.5446,0.9754,0.8836,0.8416,0.4302,0.5862,61.68
0.9556,0.4504,0.3724,0.6507,0.8608,1.0,55.87
0.1859,0.3467,0.8141,0.1013,0.2902,0.6101,91.22
0.6788,0.0426,0.2938,0.5081,0.24,0.6956,68.83
0.5447,0.4218,0.736,0.3782,0.0047,1.0,81.29
0.295,0.5212,0.4644,0.2549,0.0687,0.8961,81.11
0.1048,0.9992,0.5233,0.9488,0.6346,0.4377,75.17
0.5354,0.8181,0.8433,0.4096,0.2656,1.0,72.06
0.6693,0.5469,0.2948,0.9801,0.0083,0.3808,66.28
0.4197,0.4222,0.8535,0.5091,0.1024,0.8309,82.3
0.5289,0.579,0.6144,0.7942,0.9266,0.7774,65.88
0.5751,0.0449,0.5467,0.2601,0.7562,1.0,80.38
0.6921,0.0036,0.3216,0.5057,0.7635,0.505,66.14
0.6137,0.4543,0.3887,0.3199,0.9609,0.3526,58.54
0.7669,0.5376,0.8249,0.1358,0.491,0.6657,57.28
0.8883,0.0213,0.8775,0.806,0.9599,1.0,72.83
0.8391,0.8208,0.743,0.7657,0.0351,0.5296,54.53
0.2083,0.5039,0.5659,0.065,0.4934,0.7527,76.03
0.9618,0.2224,0.3638,0.4047,0.761,0.662,58.5
0.8294,0.0943,0.7022,0.605,0.6227,0.3533,68.85
0.8259,0.8733,0.8785,0.1863,0.1277,0.3721,54.71
0.2645,0.1669,0.2277,0.262,0.6552,0.4062,83.35
0.6112,0.7242,0.4493,0.4618,0.0073,0.9448,63.79
0.0663,0.0566,0.6831,0.6895,0.8389,0.4994,92.49
0.3712,0.7808,0.7881,0.6432,0.0595,0.6925,76.85
0.6161,0.0988,0.644,0.1444,0.7507,0.7487,69.71
0.7354,0.4747,0.7211,0.983,0.8656,0.7765,67.04
0.2047,0.1775,0.2547,0.496,0.2985,0.3821,84.4
0.8901,0.6457,0.3498,0.4192,0.1079,1.0,60.95
0.0516,0.1924,0.4678,0.4316,0.6875,0.4472,87.57
0.3994,0.6945,0.3189,0.9343,0.1514,0.2822,71.31
0.5946,0.7794,0.3655,0.8933,0.4141,0.3742,59.62
0.9584,0.5834,0.207,0.4648,0.6049,0.2775,45.7
0.0958,0.2434,0.4335,0.7979,0.9657,0.2738,80.54
0.0895,0.7526,0.2242,0.4515,0.1602,0.3501,78.83
0.5405,0.3807,0.2289,0.5093,0.8846,0.8505,66.11
0.025,0.8236,0.4213,0.922,0.7735,0.9315,82.8
0.7923,0.9988,0.2777,0.1672,0.8077,1.0,47.11
0.2568,0.2449,0.2377,0.9784,0.8251,0.9463,84.41
0.2931,0.7865,0.8317,0.1837,0.1442,0.844,81.58
0.2147,0.5877,0.7287,0.1419,0.7326,1.0,81.13
0.7304,0.5833,0.4136,0.8233,0.7978,0.6849,61.88
0.2082,0.1826,0.6491,0.3531,0.0944,1.0,98.32
0.4703,0.0789,0.5259,0.8183,0.7202,0.2721,79.31
0.948,0.8272,0.4514,0.54,0.1119,0.284,48.57
0.1058,0.575,0.2773,0.9551,0.537,1.0,90.62
0.5405,0.4046,0.7302,0.2855,0.6067,0.7412,75.73
0.4136,0.479,0.4996,0.8788,0.9807,0.8683,76.77
0.9991,0.9079,0.5501,0.2692,0.4562,0.2717,44.64
0.7492,0.4383,0.6601,0.9764,0.9767,0.3504,63.92
0.8464,0.1306,0.506,0.0436,0.4037,0.9256,67.72
0.7641,0.9333,0.738,0.9424,0.2016,0.8073,61.33
0.1974,0.326,0.3613,0.5403,0.5099,0.4979,81.23
0.9445,0.0391,0.3104,0.224,0.9655,0.626,57.37
0.7144,0.0097,0.2461,0.1665,0.7435,0.7007,69.66
0.9388,0.1484,0.2102,0.9027,0.0015,0.4408,64.52
0.0182,0.519,0.3741,0.2917,0.7143,0.6197,84.47
0.2393,0.1112,0.2034,0.5162,0.5717,0.9633,88.67
0.1191,0.7983,0.2162,0.9549,0.8504,0.6024,74.81
0.753,0.6278,0.7743,0.1389,0.4945,1.0,63.38
0.5319,0.7733,0.7087,0.74,0.6178,0.6059,62.65
0.5418,0.7331,0.4101,0.989,0.951,1.0,68.34
0.48,0.258,0.3715,0.0507,0.9214,0.9979,69.81
0.9724,0.515,0.679,0.249,0.1187,0.3387,59.24
0.0825,0.0961,0.8177,0.3183,0.6622,0.759,89.35
0.3694,0.2591,0.5509,0.7592,0.9629,0.5333,79.67
0.2598,0.8479,0.2084,0.363,0.3239,0.4692,68.68
0.4129,0.03,0.4252,0.9434,0.6072,0.4795,78.82
0.8632,0.4319,0.3038,0.0537,0.0586,0.3765,54.69
0.8812,0.721,0.7671,0.7063,0.5391,0.334,47.55
0.6526,0.5133,0.6175,0.7671,0.9681,0.3869,61.96
0.8907,0.1407,0.5716,0.5008,0.07,0.4902,66.86
0.2274,0.9127,0.646,0.1927,0.3116,1.0,78.16
0.2223,0.9957,0.2122,0.2947,0.1595,0.3368,68.31
0.5517,0.332,0.5843,0.6866,0.9383,0.826,65.14
0.7863,0.9746,0.4422,0.0179,0.6656,1.0,50.75
0.4646,0.1729,0.2388,0.4265,0.0235,0.3281,77.74
0.5616,0.5224,0.5208,0.0296,0.7234,0.9335,70.8
0.1272,0.735,0.8477,0.4272,0.3508,0.3647,89.26
0.6549,0.2645,0.5726,0.3743,0.4978,0.6436,70.57
0.8149,0.8912,0.8394,0.7539,0.3121,0.915,58.5
0.9706,0.3055,0.3244,0.1443,0.4398,1.0,59.88
0.8252,0.0252,0.6354,0.3329,0.0068,0.7076,72.21
0.7435,0.6259,0.3435,0.7319,0.4918,0.3865,58.07
0.4219,0.4912,0.4869,0.1691,0.9402,0.9438,74.97
0.7495,0.1262,0.5212,0.9527,0.3942,1.0,70.26
0.7036,0.3874,0.4458,0.6988,0.4002,0.3899,65.15
0.13,0.9836,0.8695,0.6214,0.4419,1.0,83.99
0.8563,0.2696,0.6365,0.4733,0.8299,0.8572,61.0
0.5782,0.6391,0.4531,0.0365,0.975,0.3498,53.17
0.4834,0.3013,0.3019,0.2353,0.8641,0.9941,72.06
0.3076,0.3072,0.4935,0.7389,0.3784,0.3897,82.79
0.7906,0.4328,0.3769,0.7383,0.3563,0.5772,63.72
0.5748,0.1721,0.8789,0.6599,0.2764,0.5095,82.52
0.1011,0.7103,0.5451,0.1956,0.5504,0.7369,75.53
0.4636,0.0025,0.6681,0.2335,0.2253,0.8707,87.59
0.864,0.8063,0.7068,0.5282,0.2772,0.9846,55.57
0.5368,0.9931,0.4836,0.8662,0.0183,1.0,72.21
0.1817,0.161,0.8147,0.311,0.6565,0.5057,80.28
0.8021,0.1865,0.8042,0.1185,0.4014,0.535,67.76
0.0042,0.946,0.5477,0.1005,0.73,1.0,75.4
0.3851,0.9875,0.3418,0.0625,0.6989,0.3463,52.37
0.6229,0.9124,0.2346,0.0895,0.276,1.0,60.39
0.2099,0.919,0.5324,0.1168,0.1069,0.8824,76.32
0.4666,0.6522,0.4905,0.7807,0.105,0.8278,71.21
0.388,0.9273,0.7324,0.9399,0.6837,0.8154,70.96
0.5073,0.0985,0.6536,0.8454,0.6361,1.0,82.98
0.3287,0.3647,0.2066,0.1205,0.206,0.6511,78.04
0.7062,0.0226,0.8458,0.5581,0.676,1.0,82.31
0.5226,0.0035,0.2963,0.468,0.7605,0.9055,71.01
0.1058,0.0275,0.6832,0.1111,0.6156,1.0,97.66
0.1546,0.8938,0.6738,0.8791,0.5881,1.0,81.11
0.1206,0.198,0.4372,0.2267,0.4474,0.6343,92.3
0.8633,0.8997,0.2049,0.7983,0.547,0.8676,49.79
0.3519,0.8671,0.5504,0.0147,0.6513,0.8634,64.81
0.2932,0.7984,0.2945,0.8763,0.964,0.3987,67.92
0.0381,0.9933,0.6217,0.7634,0.5515,1.0,79.76
0.2596,0.6664,0.2139,0.8008,0.6822,0.5768,68.65
0.2459,0.8497,0.8401,0.3647,0.7486,1.0,78.41
0.142,0.3219,0.7151,0.8387,0.8946,1.0,90.56
0.9277,0.2176,0.4548,0.9792,0.955,0.8447,61.92
0.7668,0.8928,0.3096,0.8485,0.7028,0.8869,49.73
0.5779,0.2886,0.7987,0.5034,0.2204,0.2594,70.7
0.9129,0.7386,0.6205,0.8095,0.814,0.54,51.56
0.3683,0.0713,0.5334,0.3647,0.8075,0.7542,84.09
0.3881,0.2908,0.699,0.2451,0.6677,1.0,82.89
0.55,0.0935,0.4281,0.8202,0.8805,0.5031,72.59
0.4987,0.2596,0.8955,0.4906,0.8203,0.7864,71.74
0.3201,0.2468,0.4359,0.7445,0.9144,0.3519,80.91
0.546,0.0764,0.5143,0.4927,0.8072,0.3728,69.22
0.4978,0.0985,0.4536,0.1548,0.8541,0.8362,72.98
0.7624,0.8121,0.5233,0.2271,0.3834,0.3907,54.23
